InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536645,22960,JAM MAKING SET WITH JARS,6,12/1/2010 13:35,4.25,13047,United Kingdom
536646,21756,DOORMAT NEW ENGLAND,10,12/1/2010 13:36,7.95,13047,United Kingdom
536647,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 13:37,3.39,13047,United Kingdom
536648,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 13:38,4.95,13047,United Kingdom
536649,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 13:39,1.65,13047,United Kingdom
536650,21724,RED HARMONICA IN BOX,10,12/1/2010 13:40,1.25,13047,United Kingdom
536651,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 13:41,2.95,13047,United Kingdom
536652,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 13:42,2.55,13047,United Kingdom
536653,71053,WHITE METAL LANTERN,6,12/1/2010 13:43,3.39,13047,United Kingdom
536654,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 13:44,1.85,13047,United Kingdom
536655,21914,BLUE HARMONICA IN BOX,12,12/1/2010 13:45,1.25,13047,United Kingdom
536656,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/1/2010 13:46,1.65,13047,United Kingdom
536657,22960,JAM MAKING SET WITH JARS,6,12/1/2010 13:47,4.25,13047,United Kingdom
536658,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/1/2010 13:48,6.95,13047,United Kingdom
536659,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 13:49,3.39,13047,United Kingdom
536660,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 13:50,4.95,13047,United Kingdom
536661,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 13:51,1.65,13047,United Kingdom
536662,21724,RED HARMONICA IN BOX,10,12/1/2010 13:52,1.25,13047,United Kingdom
536663,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 13:53,2.95,13047,United Kingdom
536664,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 13:54,2.55,13047,United Kingdom
