InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536525,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 11:35,2.55,13047,United Kingdom
536526,71053,WHITE METAL LANTERN,6,12/1/2010 11:36,3.39,13047,United Kingdom
536527,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 11:37,2.75,13047,United Kingdom
536528,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 11:38,3.39,13047,United Kingdom
536529,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 11:39,3.39,13047,United Kingdom
536530,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 11:40,7.65,13047,United Kingdom
536531,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 11:41,4.25,13047,United Kingdom
536532,22633,HAND WARMER UNION JACK,6,12/1/2010 11:42,1.85,13047,United Kingdom
536533,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 11:43,1.85,13047,United Kingdom
536534,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 11:44,1.69,13047,United Kingdom
536535,22745,POPPY'S PLAYHOUSE BEDROOM,6,12/1/2010 11:45,2.1,13047,United Kingdom
536536,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 11:46,2.1,13047,United Kingdom
536537,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/2010 11:47,3.75,13047,United Kingdom
536538,22310,IVORY KNITTED MUG COSY,6,12/1/2010 11:48,1.65,13047,United Kingdom
536539,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2010 11:49,4.25,13047,United Kingdom
536540,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/1/2010 11:50,4.95,13047,United Kingdom
536541,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 11:51,9.95,13047,United Kingdom
536542,21754,HOME BUILDING BLOCK WORD,3,12/1/2010 11:52,5.95,13047,United Kingdom
536543,21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 11:53,5.95,13047,United Kingdom
536544,21777,RECIPE BOX WITH METAL HEART,4,12/1/2010 11:54,7.95,13047,United Kingdom
