InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536685,21756,DOORMAT NEW ENGLAND,10,12/1/2010 14:15,7.95,13047,United Kingdom
536686,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 14:16,1.65,13047,United Kingdom
536687,21724,RED HARMONICA IN BOX,10,12/1/2010 14:17,1.25,13047,United Kingdom
536688,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 14:18,2.95,13047,United Kingdom
536689,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 14:19,2.55,13047,United Kingdom
536690,71053,WHITE METAL LANTERN,6,12/1/2010 14:20,3.39,13047,United Kingdom
536691,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 14:21,1.85,13047,United Kingdom
536692,21914,BLUE HARMONICA IN BOX,12,12/1/2010 14:22,1.25,13047,United Kingdom
536693,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/1/2010 14:23,1.65,13047,United Kingdom
536694,22960,JAM MAKING SET WITH JARS,6,12/1/2010 14:24,4.25,13047,United Kingdom
536695,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/1/2010 14:25,6.95,13047,United Kingdom
536696,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 14:26,3.39,13047,United Kingdom
536697,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 14:27,4.95,13047,United Kingdom
536698,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 14:28,1.65,13047,United Kingdom
536699,21724,RED HARMONICA IN BOX,10,12/1/2010 14:29,1.25,13047,United Kingdom
536700,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 14:30,2.95,13047,United Kingdom
536701,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 14:31,2.55,13047,United Kingdom
536702,71053,WHITE METAL LANTERN,6,12/1/2010 14:32,3.39,13047,United Kingdom
536703,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 14:33,1.85,13047,United Kingdom
536704,21914,BLUE HARMONICA IN BOX,12,12/1/2010 14:34,1.25,13047,United Kingdom
