InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536385,22571,HANGING STAR WITH BELLS,6,12/1/2010 9:15,4.25,13047,United Kingdom
536386,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/2010 9:16,3.75,13047,United Kingdom
536387,21756,DOORMAT NEW ENGLAND,6,12/1/2010 9:17,7.95,13047,United Kingdom
536388,22745,POPPY'S PLAYHOUSE BEDROOM,6,12/1/2010 9:18,2.1,13047,United Kingdom
536389,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 9:19,2.1,13047,United Kingdom
536390,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 9:20,7.65,13047,United Kingdom
536391,22633,HAND WARMER UNION JACK,6,12/1/2010 9:21,1.85,13047,United Kingdom
536392,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 9:22,1.85,13047,United Kingdom
536393,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 9:23,1.65,13047,United Kingdom
536394,21724,RED  HARMONICA IN BOX,10,12/1/2010 9:24,1.25,13047,United Kingdom
536395,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 9:25,2.95,13047,United Kingdom
536396,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/1/2010 9:26,4.95,13047,United Kingdom
536397,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 9:27,9.95,13047,United Kingdom
536398,22754,COFFEE MUG APPLES DESIGN,6,12/1/2010 9:28,1.95,13047,United Kingdom
536399,21754,HOME BUILDING BLOCK WORD,3,12/1/2010 9:29,5.95,13047,United Kingdom
536400,21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 9:30,5.95,13047,United Kingdom
536401,22386,JUMBO BAG PINK POLKADOT,10,12/1/2010 9:31,1.95,13047,United Kingdom
536402,85099B,JUMBO BAG RED RETROSPOT,10,12/1/2010 9:32,1.95,13047,United Kingdom
536403,84907B,PACK OF 12 RED RETROSPOT TISSUES,20,12/1/2010 9:33,0.85,13047,United Kingdom
536404,84907C,PACK OF 12 BLUE RETROSPOT TISSUES,20,12/1/2010 9:34,0.85,13047,United Kingdom
