InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536485,21756,DOORMAT NEW ENGLAND,10,12/1/2010 10:55,7.95,13047,United Kingdom
536486,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 10:56,1.65,13047,United Kingdom
536487,21724,RED HARMONICA IN BOX,10,12/1/2010 10:57,1.25,13047,United Kingdom
536488,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 10:58,2.95,13047,United Kingdom
536489,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 10:59,2.55,13047,United Kingdom
536490,71053,WHITE METAL LANTERN,6,12/1/2010 11:00,3.39,13047,United Kingdom
536491,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 11:01,1.85,13047,United Kingdom
536492,21914,BLUE HARMONICA IN BOX,12,12/1/2010 11:02,1.25,13047,United Kingdom
536493,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/1/2010 11:03,1.65,13047,United Kingdom
536494,22960,JAM MAKING SET WITH JARS,6,12/1/2010 11:04,4.25,13047,United Kingdom
536495,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/1/2010 11:05,6.95,13047,United Kingdom
536496,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 11:06,3.39,13047,United Kingdom
536497,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 11:07,4.95,13047,United Kingdom
536498,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 11:08,1.65,13047,United Kingdom
536499,21724,RED HARMONICA IN BOX,10,12/1/2010 11:09,1.25,13047,United Kingdom
536500,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 11:10,2.95,13047,United Kingdom
536501,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 11:11,2.55,13047,United Kingdom
536502,71053,WHITE METAL LANTERN,6,12/1/2010 11:12,3.39,13047,United Kingdom
536503,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 11:13,1.85,13047,United Kingdom
536504,21914,BLUE HARMONICA IN BOX,12,12/1/2010 11:14,1.25,13047,United Kingdom
