InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536425,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2010 9:55,4.25,13047,United Kingdom
536426,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/1/2010 9:56,4.95,13047,United Kingdom
536427,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 9:57,9.95,13047,United Kingdom
536428,21754,HOME BUILDING BLOCK WORD,3,12/1/2010 9:58,5.95,13047,United Kingdom
536429,21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 9:59,5.95,13047,United Kingdom
536430,21777,RECIPE BOX WITH METAL HEART,4,12/1/2010 10:00,7.95,13047,United Kingdom
536431,84988,SET 2 TEA TOWELS I LOVE LONDON,3,12/1/2010 10:01,4.95,13047,United Kingdom
536432,21756,DOORMAT NEW ENGLAND,6,12/1/2010 10:02,7.95,13047,United Kingdom
536433,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 10:03,1.65,13047,United Kingdom
536434,21724,RED  HARMONICA IN BOX,10,12/1/2010 10:04,1.25,13047,United Kingdom
536435,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 10:05,2.95,13047,United Kingdom
536436,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 10:06,2.55,13047,United Kingdom
536437,71053,WHITE METAL LANTERN,6,12/1/2010 10:07,3.39,13047,United Kingdom
536438,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 10:08,1.85,13047,United Kingdom
536439,21914,BLUE HARMONICA IN BOX,12,12/1/2010 10:09,1.25,13047,United Kingdom
536440,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/1/2010 10:10,1.65,13047,United Kingdom
536441,22960,JAM MAKING SET WITH JARS,6,12/1/2010 10:11,4.25,13047,United Kingdom
536442,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/1/2010 10:12,6.95,13047,United Kingdom
536443,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 10:13,3.39,13047,United Kingdom
536444,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 10:14,4.95,13047,United Kingdom
