InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536505,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/1/2010 11:15,1.65,13047,United Kingdom
536506,22960,JAM MAKING SET WITH JARS,6,12/1/2010 11:16,4.25,13047,United Kingdom
536507,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/1/2010 11:17,6.95,13047,United Kingdom
536508,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 11:18,3.39,13047,United Kingdom
536509,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 11:19,4.95,13047,United Kingdom
536510,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 11:20,1.65,13047,United Kingdom
536511,21724,RED HARMONICA IN BOX,10,12/1/2010 11:21,1.25,13047,United Kingdom
536512,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 11:22,2.95,13047,United Kingdom
536513,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 11:23,2.55,13047,United Kingdom
536514,71053,WHITE METAL LANTERN,6,12/1/2010 11:24,3.39,13047,United Kingdom
536515,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 11:25,1.85,13047,United Kingdom
536516,21914,BLUE HARMONICA IN BOX,12,12/1/2010 11:26,1.25,13047,United Kingdom
536517,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/1/2010 11:27,1.65,13047,United Kingdom
536518,22960,JAM MAKING SET WITH JARS,6,12/1/2010 11:28,4.25,13047,United Kingdom
536519,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/1/2010 11:29,6.95,13047,United Kingdom
536520,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 11:30,3.39,13047,United Kingdom
536521,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 11:31,4.95,13047,United Kingdom
536522,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 11:32,1.65,13047,United Kingdom
536523,21724,RED HARMONICA IN BOX,10,12/1/2010 11:33,1.25,13047,United Kingdom
536524,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 11:34,2.95,13047,United Kingdom
