InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536445,22960,JAM MAKING SET WITH JARS,6,12/1/2010 10:15,4.25,13047,United Kingdom
536446,21756,DOORMAT NEW ENGLAND,10,12/1/2010 10:16,7.95,13047,United Kingdom
536447,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 10:17,3.39,13047,United Kingdom
536448,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 10:18,4.95,13047,United Kingdom
536449,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 10:19,1.65,13047,United Kingdom
536450,21724,RED HARMONICA IN BOX,10,12/1/2010 10:20,1.25,13047,United Kingdom
536451,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 10:21,2.95,13047,United Kingdom
536452,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 10:22,2.55,13047,United Kingdom
536453,71053,WHITE METAL LANTERN,6,12/1/2010 10:23,3.39,13047,United Kingdom
536454,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 10:24,1.85,13047,United Kingdom
536455,21914,BLUE HARMONICA IN BOX,12,12/1/2010 10:25,1.25,13047,United Kingdom
536456,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/1/2010 10:26,1.65,13047,United Kingdom
536457,22960,JAM MAKING SET WITH JARS,6,12/1/2010 10:27,4.25,13047,United Kingdom
536458,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/1/2010 10:28,6.95,13047,United Kingdom
536459,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 10:29,3.39,13047,United Kingdom
536460,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 10:30,4.95,13047,United Kingdom
536461,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 10:31,1.65,13047,United Kingdom
536462,21724,RED HARMONICA IN BOX,10,12/1/2010 10:32,1.25,13047,United Kingdom
536463,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 10:33,2.95,13047,United Kingdom
536464,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 10:34,2.55,13047,United Kingdom
