InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536465,71053,WHITE METAL LANTERN,6,12/1/2010 10:35,3.39,13047,United Kingdom
536466,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 10:36,2.75,13047,United Kingdom
536467,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 10:37,3.39,13047,United Kingdom
536468,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 10:38,3.39,13047,United Kingdom
536469,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 10:39,7.65,13047,United Kingdom
536470,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 10:40,4.25,13047,United Kingdom
536471,22633,HAND WARMER UNION JACK,6,12/1/2010 10:41,1.85,13047,United Kingdom
536472,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 10:42,1.85,13047,United Kingdom
536473,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 10:43,1.69,13047,United Kingdom
536474,22745,POPPY'S PLAYHOUSE BEDROOM,6,12/1/2010 10:44,2.1,13047,United Kingdom
536475,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 10:45,2.1,13047,United Kingdom
536476,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/2010 10:46,3.75,13047,United Kingdom
536477,22310,IVORY KNITTED MUG COSY,6,12/1/2010 10:47,1.65,13047,United Kingdom
536478,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2010 10:48,4.25,13047,United Kingdom
536479,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/1/2010 10:49,4.95,13047,United Kingdom
536480,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 10:50,9.95,13047,United Kingdom
536481,21754,HOME BUILDING BLOCK WORD,3,12/1/2010 10:51,5.95,13047,United Kingdom
536482,21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 10:52,5.95,13047,United Kingdom
536483,21777,RECIPE BOX WITH METAL HEART,4,12/1/2010 10:53,7.95,13047,United Kingdom
536484,84988,SET 2 TEA TOWELS I LOVE LONDON,3,12/1/2010 10:54,4.95,13047,United Kingdom
