InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536368,84988,SET 2 TEA TOWELS I LOVE LONDON,3,12/1/2010 8:35,4.95,13047,United Kingdom
536369,21756,DOORMAT NEW ENGLAND,6,12/1/2010 8:45,7.95,13047,United Kingdom
536370,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 9:00,1.65,13047,United Kingdom
536370,21724,RED  HARMONICA IN BOX,10,12/1/2010 9:00,1.25,13047,United Kingdom
536370,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 9:00,2.95,13047,United Kingdom
536371,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 9:01,2.55,13047,United Kingdom
536371,71053,WHITE METAL LANTERN,6,12/1/2010 9:01,3.39,13047,United Kingdom
536372,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 9:02,1.85,13047,United Kingdom
536373,21914,BLUE HARMONICA IN BOX,12,12/1/2010 9:03,1.25,13047,United Kingdom
536374,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/1/2010 9:04,1.65,13047,United Kingdom
536375,22960,JAM MAKING SET WITH JARS,6,12/1/2010 9:05,4.25,13047,United Kingdom
536376,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/1/2010 9:06,6.95,13047,United Kingdom
536377,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 9:07,3.39,13047,United Kingdom
536378,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 9:08,4.95,13047,United Kingdom
536379,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 9:09,1.65,13047,United Kingdom
536380,22112,CHOCOLATE HOT WATER BOTTLE,6,12/1/2010 9:10,3.39,13047,United Kingdom
536381,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 9:11,7.65,13047,United Kingdom
536382,22725,GLASS JAR DAISY FRESH COTTON WOOL,6,12/1/2010 9:12,4.95,13047,United Kingdom
536383,22624,SET OF 3 CAKE TINS PANTRY DESIGN,6,12/1/2010 9:13,5.95,13047,United Kingdom
536384,22570,RED GLASS CANDLE HOLDER STAR,6,12/1/2010 9:14,2.95,13047,United Kingdom
