InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536545,22960,JAM MAKING SET WITH JARS,6,12/1/2010 11:55,4.25,13047,United Kingdom
536546,21756,DOORMAT NEW ENGLAND,10,12/1/2010 11:56,7.95,13047,United Kingdom
536547,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 11:57,3.39,13047,United Kingdom
536548,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 11:58,4.95,13047,United Kingdom
536549,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 11:59,1.65,13047,United Kingdom
536550,21724,RED HARMONICA IN BOX,10,12/1/2010 12:00,1.25,13047,United Kingdom
536551,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 12:01,2.95,13047,United Kingdom
536552,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 12:02,2.55,13047,United Kingdom
536553,71053,WHITE METAL LANTERN,6,12/1/2010 12:03,3.39,13047,United Kingdom
536554,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 12:04,1.85,13047,United Kingdom
536555,21914,BLUE HARMONICA IN BOX,12,12/1/2010 12:05,1.25,13047,United Kingdom
536556,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/1/2010 12:06,1.65,13047,United Kingdom
536557,22960,JAM MAKING SET WITH JARS,6,12/1/2010 12:07,4.25,13047,United Kingdom
536558,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/1/2010 12:08,6.95,13047,United Kingdom
536559,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 12:09,3.39,13047,United Kingdom
536560,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 12:10,4.95,13047,United Kingdom
536561,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 12:11,1.65,13047,United Kingdom
536562,21724,RED HARMONICA IN BOX,10,12/1/2010 12:12,1.25,13047,United Kingdom
536563,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 12:13,2.95,13047,United Kingdom
536564,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 12:14,2.55,13047,United Kingdom
