InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536725,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 14:55,2.55,13047,United Kingdom
536726,71053,WHITE METAL LANTERN,6,12/1/2010 14:56,3.39,13047,United Kingdom
536727,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 14:57,2.75,13047,United Kingdom
536728,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 14:58,3.39,13047,United Kingdom
536729,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 14:59,3.39,13047,United Kingdom
536730,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 15:00,7.65,13047,United Kingdom
536731,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 15:01,4.25,13047,United Kingdom
536732,22633,HAND WARMER UNION JACK,6,12/1/2010 15:02,1.85,13047,United Kingdom
536733,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 15:03,1.85,13047,United Kingdom
536734,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 15:04,1.69,13047,United Kingdom
536735,22745,POPPY'S PLAYHOUSE BEDROOM,6,12/1/2010 15:05,2.1,13047,United Kingdom
536736,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 15:06,2.1,13047,United Kingdom
536737,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/2010 15:07,3.75,13047,United Kingdom
536738,22310,IVORY KNITTED MUG COSY,6,12/1/2010 15:08,1.65,13047,United Kingdom
536739,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2010 15:09,4.25,13047,United Kingdom
536740,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/1/2010 15:10,4.95,13047,United Kingdom
536741,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 15:11,9.95,13047,United Kingdom
536742,21754,HOME BUILDING BLOCK WORD,3,12/1/2010 15:12,5.95,13047,United Kingdom
536743,21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 15:13,5.95,13047,United Kingdom
536744,21777,RECIPE BOX WITH METAL HEART,4,12/1/2010 15:14,7.95,13047,United Kingdom
