InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536405,84907A,PACK OF 12 PINK POLKADOT TISSUES,20,12/1/2010 9:35,0.85,13047,United Kingdom
536406,22751,SET OF 7 BABUSHKA NESTING BOXES,10,12/1/2010 9:36,7.65,13047,United Kingdom
536407,22382,JUMBO SHOPPER VINTAGE RED PAISLEY,5,12/1/2010 9:37,1.95,13047,United Kingdom
536408,22469,HEART OF WICKER LARGE,6,12/1/2010 9:38,2.95,13047,United Kingdom
536409,22384,PACK OF 6 SMALL FRUIT STRAWS,15,12/1/2010 9:39,1.25,13047,United Kingdom
536410,22386,JUMBO BAG PINK POLKADOT,10,12/1/2010 9:40,1.95,13047,United Kingdom
536411,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 9:41,2.55,13047,United Kingdom
536412,71053,WHITE METAL LANTERN,6,12/1/2010 9:42,3.39,13047,United Kingdom
536413,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 9:43,2.75,13047,United Kingdom
536414,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 9:44,3.39,13047,United Kingdom
536415,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 9:45,3.39,13047,United Kingdom
536416,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 9:46,7.65,13047,United Kingdom
536417,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 9:47,4.25,13047,United Kingdom
536418,22633,HAND WARMER UNION JACK,6,12/1/2010 9:48,1.85,13047,United Kingdom
536419,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 9:49,1.85,13047,United Kingdom
536420,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 9:50,1.69,13047,United Kingdom
536421,22745,POPPY'S PLAYHOUSE BEDROOM,6,12/1/2010 9:51,2.1,13047,United Kingdom
536422,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 9:52,2.1,13047,United Kingdom
536423,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/2010 9:53,3.75,13047,United Kingdom
536424,22310,IVORY KNITTED MUG COSY,6,12/1/2010 9:54,1.65,13047,United Kingdom
